Course Title,Course Rating,Course Enrollment,Course URL
Основы Digital Маркетинга,4.6,17k,/specializations/fundamentals-digital-marketing
Financial Markets and Investment Strategy,4.6,51k,/specializations/investment-strategy
Introduction to English Common Law,4.8,17k,/learn/intro-common-law
"Speak English Professionally: In Person, Online & On the Phone",4.6,370k,/learn/speak-english-professionally
Introduction to Spreadsheets and Models,4.2,72k,/learn/wharton-introduction-spreadsheets-models
Innovation Management,4.6,34k,/learn/innovation-management
Réussir le Changement,4.5,31k,/learn/reussir-le-changement
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.6,7.5k,/learn/corp-sustainability
Using Databases with Python,4.8,200k,/learn/python-databases
Business Model Innovation,4.7,11k,/learn/business-model
Swift 5 iOS Application Developer,4.4,2.3k,/specializations/swift-5-ios-app-developer
Teamwork Skills: Communicating Effectively in Groups,4.7,21k,/learn/teamwork-skills-effective-communication
Drug Discovery,4.6,32k,/learn/drug-discovery
Introduction to HTML5,4.7,180k,/learn/html
Become a Journalist: Report the News!,4.6,25k,/specializations/become-a-journalist
In the Studio: Postwar Abstract Painting,4.9,53k,/learn/painting
Computational Social Science,4.8,2.6k,/specializations/computational-social-science-ucdavis
Rethinking International Tax Law,4.9,34k,/learn/international-taxation
Inclusión social de personas con discapacidad desde un enfoque de derechos.,3.3,6.9k,/learn/inclusion-social-personas-discapacidad
